Count	Reference	Value	Footprint	Library	Part
2	"Q101 Q102 "	IPB020NE7N3G	w_smd_trans:d2-pak	EtherDue-cache	NMOSFET2
2	"P102 P103 "	MSTBV3	eagle-con-phoenix-508:MSTBV3	EtherDue-cache	CONN_01X03
10	"JP101 JP102 JP801 JP1001 JP1002 
JP1003 JP1004 JP1701 JP1801 JP1901 "	JUMPER3	Pin_Headers:Pin_Header_Straight_1x03	freetronics_kicad_sch_lib	JUMPER3
1	"P104 "	MSTBV6	eagle-con-phoenix-508:MSTBV6	EtherDue-cache	CONN_01X06
4	"R103 R902 R1501 R1601 "	1k	Resistors_SMD:R_0603	EtherDue-cache	R
7	"C101 C102 C103 C104 C105 
C106 C107 "	1nF/X7R	Capacitors_SMD:C_0603	EtherDue-cache	C
13	"D101 D102 D103 D1001 D1002 
D1003 D1004 D1501 D1601 D2001 
D2002 D2003 D2004 "	BAT54S	w_smd_trans:sot23	EtherDue-cache	DOUBLE_SCHOTTKY
1	"U101 "	AD7415	Housings_SOT-23_SOT-143_TSOT-6:SOT23-5	EtherDue-cache	AD7415
2	"R101 R102 "	Shunt	eagle-shunt:WSL4026	EtherDue-cache	Shunt
1	"P101 "	CONN_02X04	w_conn_strip:vasch_strip_4x2	EtherDue-cache	CONN_02X04
1	"U1701 "	MCP6H04	Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm	EtherDue-cache	LM324
11	"R104 R105 R1013 R1016 R1017 
R1702 R1706 R1802 R1806 R1902 
R1906 "	4k7	Resistors_SMD:R_0603	EtherDue-cache	R
57	"C803 C804 C901 C902 C1001 
C1002 C1005 C1006 C1007 C1008 
C1011 C1012 C1014 C1015 C1016 
C1019 C1020 C1021 C1024 C1025 
C1027 C1028 C1029 C1030 C1031 
C1032 C1101 C1102 C1113 C1114 
C1201 C1202 C1213 C1214 C1301 
C1302 C1313 C1314 C1401 C1402 
C1413 C1414 C1501 C1503 C1504 
C1601 C1604 C1701 C1702 C1703 
C1704 C1801 C1802 C1804 C1901 
C1902 C1904 "	100n/X7R	Capacitors_SMD:C_0603	EtherDue-cache	C
1	"IC201 "	ATSAM3X8E	TQFP144	freetronics_kicad_sch_lib	ATSAM3X8E
1	"SW202 "	RESET	FT:TACTILE_SWITCH_SMD_2PIN_TINY	freetronics_kicad_sch_lib	SW_PUSHBUTTON
28	"C206 C207 C208 C301 C302 
C503 C504 C509 C511 C512 
C513 C514 C515 C516 C520 
C521 C522 C523 C524 C526 
C527 C603 C605 C607 C609 
C610 C611 C701 "	100nF	SM0402	EtherDue-cache	C
3	"U202 U503 U504 "	FDN340P	FT:SOT23_MOSFET	EtherDue-cache	MOSFET-PCHANNEL
1	"SW201 "	ERASE	FT:TACTILE_SWITCH_SMD_2PIN_TINY	freetronics_kicad_sch_lib	SW_PUSHBUTTON
3	"R206 R601 R604 "	1K	FT:RES_CAY16	freetronics_kicad_sch_lib	RES_PACK4_IND
8	"D201 D202 D204 D302 D303 
D601 D605 D606 "	YELLOW	zeilhofer:LED-0603	freetronics_kicad_sch_lib	LED
3	"D203 D602 D603 "	GREEN	zeilhofer:LED-0603	freetronics_kicad_sch_lib	LED
1	"U203 "	LMV358IPWR	FT:TSSOP8	EtherDue-cache	LM358
1	"R201 "	"6k8 1%"	SM0402_r	EtherDue-cache	R
7	"C201 C202 C205 C303 C304 
C601 C602 "	22pF	SM0402	EtherDue-cache	C
2	"R202 R203 "	"39R 1%"	SM0402_r	EtherDue-cache	R
2	"C203 C204 "	22pF_NM	SM0402	EtherDue-cache	C
1	"X202 "	"ABS07L 32.768kHz"	FT:ABS07L	freetronics_kicad_sch_lib	CRYSTAL
5	"L201 L501 L503 L504 L505 "	MH2029-300Y	FT:MH2029	EtherDue-cache	INDUCTOR_SMALL
1	"R204 "	100K	SM0402_r	EtherDue-cache	R
1	"X201 "	"TXC 7A 12MHz 18pF"	FT:TXC_7A	freetronics_kicad_sch_lib	CRYSTAL
2	"SJ202 SJ401 "	CLOSED	FT:SJ_SHORTED	freetronics_kicad_sch_lib	SJ
3	"SJ201 SJ203 SJ601 "	OPEN	FT:SJ_OPEN	freetronics_kicad_sch_lib	SJ
3	"R205 R207 R304 "	1K5	SM0402_r	EtherDue-cache	R
1	"R208 "	10K	SMD_Packages:SMD-0402_r	EtherDue-cache	R
1	"R305 "	2K7	SM0402_r	EtherDue-cache	R
7	"R306 R307 R308 R309 R501 
R606 R607 "	1K	SM0402_r	EtherDue-cache	R
5	"R303 R310 R403 R503 R505 "	10K	SM0402_r	EtherDue-cache	R
2	"R301 R302 "	22R	SM0402_r	EtherDue-cache	R
5	"VR401 VR402 VR403 Z301 Z302 "	PGB1010603	FT:0603	EtherDue-cache	VR
2	"F301 F401 "	"500mA PTC 1812"	SM1812	freetronics_kicad_sch_lib	FUSE
2	"P301 P401 "	USB_5PIN_SHELL	FT:USB-MICRO_TH_4PEGS	freetronics_kicad_sch_lib	USB_5PIN_SHELL
1	"C305 "	1uF	SM0402	EtherDue-cache	C
1	"D301 "	CD1206-S	FT:1206_DIODE	freetronics_kicad_sch_lib	DIODE
1	"ICSP301 "	M02X03	Pin_Headers:Pin_Header_Straight_2x03	freetronics_kicad_sch_lib	M02X03
1	"IC301 "	ATMEGA16U2	FT:QFN32	freetronics_kicad_sch_lib	ATMEGA16U2
1	"X301 "	"TXC 7A 16MHz 18pF"	FT:TXC_7A	freetronics_kicad_sch_lib	CRYSTAL
1	"DEBUG401 "	M04	Pin_Headers:Pin_Header_Straight_1x04	freetronics_kicad_sch_lib	M04
8	"C402 C403 C506 C507 C517 
C518 C519 C528 "	10uF	FT:SM0603_Capa	EtherDue-cache	C
2	"C401 C505 "	10nF	SM0402	EtherDue-cache	C
2	"R401 R502 "	100K	FT:RES_CAY16	freetronics_kicad_sch_lib	RES_PACK4_IND
1	"JP401 "	JTAG	FT:2X5_127MMPITCH	freetronics_kicad_sch_lib	M02X05
1	"SHIELD401 "	ARDUINO_DUE_SHIELD	FT:ARDUINO_DUE_SHIELD	freetronics_kicad_sch_lib	ARDUINO_DUE_SHIELD
1	"U603 "	APX811-31UG-7	FT:SOT143-R	freetronics_kicad_sch_lib	APX811
3	"C604 C606 C608 "	"10uF 6.3V A TANT"	SMD_Packages:SMD-1206_Pol	EtherDue-cache	C
2	"L601 L602 "	"1uH 250mA"	FT:0805	EtherDue-cache	INDUCTOR_SMALL
1	"R605 "	"49R9 1%"	FT:RES_CAY16	freetronics_kicad_sch_lib	RES_PACK4
1	"JP601 "	M04	zeilhofer:FT-POE-MODULE-NOOUTLINE	freetronics_kicad_sch_lib	M04
1	"U602 "	HY931147C	FT:HY931147C	freetronics_kicad_sch_lib	HY931147C
1	"D604 "	RED	zeilhofer:LED-0603	freetronics_kicad_sch_lib	LED
1	"R602 "	1M	SM0402_r	EtherDue-cache	R
1	"X601 "	"TXC 7A 25MHz 18pF"	FT:TXC_7A	freetronics_kicad_sch_lib	CRYSTAL
1	"R603 "	"12K3 1%"	SM0402_r	EtherDue-cache	R
1	"Q601 "	2N7002	FT:SOT23	freetronics_kicad_sch_lib	2N7002
1	"IC601 "	W5100	FT:SQFP80	freetronics_kicad_sch_lib	W5100
1	"U701 "	MICROSD	FT:MICRO-SD-SOCKET-PP	freetronics_kicad_sch_lib	MICROSD
2	"SJ701 SJ702 "	SJ	FT:SJ_SHORTED	freetronics_kicad_sch_lib	SJ
1	"U702 "	24AA025E48	FT:SOT23-6	freetronics_kicad_sch_lib	24AA025E48
